pc_result_tag,sid,cid,PUBCHEM_EXT_DATASOURCE_SMILES,activity_outcome,activity_score,activity_url,assay_data_comment,activity_summary,antagonist_activity,antagonist_potency,antagonist_efficacy,viability_activity,viability_potency,viability_efficacy,sample_source
1,144203552,12850184,C(C(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O.C(C(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O.[Ca+2],Inactive,0.0,,,inactive,inactive,,0.0,inactive,,0.0,NCI
2,144203553,89753,C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.[Ba+2],Inactive,0.0,,,inactive,inactive,,0.0,inactive,,0.0,NCI
3,144203554,9403,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OC(=O)CCC4CCCC4)CCC5=C3C=CC(=C5)O,Inactive,0.0,,,inactive,inactive,,0.0,inactive,,0.0,NCI
4,144203555,13218779,C[C@@]12CC[C@@H](C1(C)C)C[C@H]2OC(=O)CSC#N,Inactive,0.0,,,inactive,inactive,,0.0,inactive,,0.0,NCI
10,144203561,637566,CC(=CCC/C(=C/CO)/C)C,Inactive,0.0,,,inactive,inactive,,0.0,inactive,,0.0,NCI
12,144203563,4766,C1=CC=C2C(=C1)C(OS2(=O)=O)(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,Inactive,0.0,,,inactive,inactive,,0.0,active antagonist,27.644,-51.4961,NCI
14,144203565,3080,C(C(CS)S)O,Inactive,0.0,,,inactive,inactive,,0.0,inactive,,0.0,NCI
15,144203566,7048801,[C@@H]([C@H](C(=O)O)S)(C(=O)O)S,Inactive,0.0,,,inactive,inactive,,0.0,inactive,,0.0,NCI
16,144203567,51,C(CC(=O)O)C(=O)C(=O)O,Inactive,0.0,,,inactive,inactive,,0.0,inactive,,0.0,NCI
18,144203569,66435,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OP(=O)(O)O)CCC4=C3C=CC(=C4)O,Inactive,0.0,,,inactive,inactive,,0.0,inactive,,0.0,NCI
