cid,clean_smiles
12850184,O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)C(=O)[O-]
89753,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
9403,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)CCC1CCCC1
13218779,CC1(C)[C@@H]2CC[C@@]1(C)[C@H](OC(=O)CSC#N)C2
637566,CC(C)=CCC/C(C)=C/CO
4766,O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21
3080,OCC(S)CS
7048801,O=C(O)[C@H](S)[C@@H](S)C(=O)O
51,O=C(O)CCC(=O)C(=O)O
66435,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OP(=O)(O)O
8969,COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O
10664,Cc1ncc(CO)c(CN)c1O
8739,NS(=O)(=O)c1ccc(C(=O)O)cc1
4904,OC(CCN1CCCCC1)(c1ccccc1)c1ccccc1
65463,CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1
439501,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O
65708,O=C(O)CCc1nc2ccccc2[nH]1
60196259,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
5338,Nc1ccc(S(=O)(=O)Nc2cnc3ccccc3n2)cc1
3246155,CN1[C@@H]2CC[C@H]1CC(OC(c1ccccc1)c1ccccc1)C2
5920,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O
54724367,CN(C)[C@@H]1C(=O)C(C(=O)NCN2CCCC2)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)C3C[C@@H]12
24403,O=P([O-])([O-])OP(=O)([O-])[O-]
6419941,CN1[C@@H]2CC[C@H]1CC(OC(=O)C(O)c1ccccc1)C2
6603108,CN1[C@@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12
6419978,C[N+]1([O-])[C@@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12
5459110,C[N+]1(C)[C@@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12
656597,C[N+]1(C)[C@@H]2CC[C@H]1CC(OC(=O)C(CO)c1ccccc1)C2
3000668,C[N+]1([O-])[C@@H]2CC[C@H]1CC(OC(=O)C(CO)c1ccccc1)C2
22576,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21
2333,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1
614,O=C(O)C1CCCN1
94280,CN(C)CCCN1c2ccccc2C(C)(C)c2ccccc21
23664709,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)[O-]
546,O=C(O)CP(=O)(O)O
16678045,O=C1C[C@@H]2OCC=C3CN4CC[C@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@H]46
14676,CN1CCC(CN2c3ccccc3Sc3ccccc32)C1
298391,c1cc2c(c(NC3=NCCN3)c1)CCCC2
4078,CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21
2348,NS(=O)(=O)c1cc2c(cc1Cl)NC(Cc1ccccc1)NS2(=O)=O
23667629,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)[O-]
3151,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1
65758,Clc1ccccc1-c1nc(-c2ccncc2)no1
5694,Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C
4614,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1
71203,CC[C@]12CCCN3CCc4c(n(c5ccccc45)C(=O)C1)[C@@H]32
3061720,CC(C)(C)NCC(O)c1ccc(O)c(CO)n1
35370,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O
2266,O=C(O)CCCCCCCC(=O)O
1727,Nc1ccncc1
2081,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1
1989,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
2130,NC12CC3CC(CC(C3)C1)C2
169371,Nc1nc(N)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2n1
5283389,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCC(=O)O
119,NCCCC(=O)O
1935,Nc1c2c(nc3ccccc13)CCCC2
135398513,Nc1nc2c(ncn2COCCO)c(=O)[nH]1
2244,CC(=O)Oc1ccccc1C(=O)O
2141,NCCCNCCSP(=O)(O)O
1986,CC(=O)Nc1nnc(S(N)(=O)=O)s1
2230,COC(=O)C1=CCCN(C)C1
16231,NC(N)=NC(=O)c1nc(Cl)c(N)nc1N
564,NCCCCCC(=O)O
135401907,O=c1[nH]cnc2[nH]ncc12
2157,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1
2119,C=CCc1ccccc1OCC(O)CNC(C)C
2123,CN(C)c1nc(N(C)C)nc(N(C)C)n1
2196,COc1ccc(C(=O)N2CCCC2=O)cc1
4768,CC(COc1ccccc1)N(CCCl)Cc1ccccc1
2471,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1
2284,NCC(CC(=O)O)c1ccc(Cl)cc1
2369,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
2477,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
2717,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1
2765,c1ccc(C2CC2)c(OCC2=NCCN2)c1
2708,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1
2578,O=NN(CCCl)C(=O)NCCCl
2754,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1
6241,Cn1c(=O)c2c(ncn2C)n(C)c1=O
22420,O=P1(N(CCCl)CCCl)NCCCO1
