smiles,cid
C(C(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O.C(C(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O.[Ca+2],12850184
C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.[Ba+2],89753
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OC(=O)CCC4CCCC4)CCC5=C3C=CC(=C5)O,9403
C[C@@]12CC[C@@H](C1(C)C)C[C@H]2OC(=O)CSC#N,13218779
CC(=CCC/C(=C/CO)/C)C,637566
C1=CC=C2C(=C1)C(OS2(=O)=O)(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,4766
C(C(CS)S)O,3080
[C@@H]([C@H](C(=O)O)S)(C(=O)O)S,7048801
C(CC(=O)O)C(=O)C(=O)O,51
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OP(=O)(O)O)CCC4=C3C=CC(=C4)O,66435
COC(=O)[C@H]1[C@H](CC[C@@H]2[C@@H]1C[C@H]3C4=C(CCN3C2)C5=CC=CC=C5N4)O,8969
CC1=NC=C(C(=C1O)CN)CO.Cl.Cl,10664
C1=CC(=CC=C1C(=O)O)S(=O)(=O)N,8739
C1CCN(CC1)CCC(C2=CC=CC=C2)(C3=CC=CC=C3)O,4904
CC(C)(C)C1=CC=C(C=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl.Cl.Cl,65463
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2C[C@H]([C@@]3([C@@H]4[C@@H](CC[C@@]3(C2)O)[C@]5(CC[C@@H]([C@]5(C[C@H]4O)C)C6=CC(=O)OC6)O)CO)O)O)O)O,439501
C1=CC=C2C(=C1)NC(=N2)CCC(=O)O,65708
C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C.C1CNCCN1,60196259
C1=CC=C2C(=C1)N=CC(=N2)NS(=O)(=O)C3=CC=C(C=C3)N,5338
CN1[C@@H]2CC[C@H]1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4.CS(=O)(=O)O,3246155
C1=CC(=C(C=C1OC2=C(C=C(C=C2I)C[C@@H](C(=O)O)N)I)I)O,5920
C[C@@]1(C2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)NCN5CCCC5)N(C)C)O.Cl,54724367
[O-]P(=O)([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+],24403
CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(C3=CC=CC=C3)O.Br,6419941
CN1[C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4.Br,6603108
C[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)[O-].Br,6419978
C[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)C.[Br-],5459110
C[N+]1([C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C.[Br-],656597
C[N+]1([C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)[O-],3000668
CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31.Cl,22576
CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br,2333
C1CC(NC1)C(=O)O,614
CC1(C2=CC=CC=C2N(C3=CC=CC=C31)CCCN(C)C)C,94280
CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)[O-])C.[K+],23664709
C(C(=O)O)P(=O)(O)O,546
CC1=CC(=C(N1C2=CC=CC(=C2)C(=O)O)C)C(=O)O.C1CN2CC3=CCO[C@H]4CC(=O)N5[C@H]6[C@H]4[C@H]3C[C@H]2[C@@]61C7=CC=CC=C75,16678045
CN1CCC(C1)CN2C3=CC=CC=C3SC4=CC=CC=C42.Cl,14676
CC1=CC=C(C=C1)S(=O)(=O)O.C1CCC2=C(C1)C=CC=C2NC3=NCCN3,298391
CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)C,4078
C1=CC=C(C=C1)CC2NC3=CC(=C(C=C3S(=O)(=O)N2)S(=O)(=O)N)Cl,2348
CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)[O-].[Na+],23667629
C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O,3151
C1=CC=C(C(=C1)C2=NC(=NO2)C3=CC=NC=C3)Cl,65758
CC1=C(C(=CC=C1)NC2=CC(=NC(=N2)SCC(=O)O)Cl)C,5694
C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3,4614
CC[C@@]12CCCN3[C@@H]1C4=C(CC3)C5=CC=CC=C5N4C(=O)C2,71203
CC(C)(C)NCC(C1=NC(=C(C=C1)O)CO)O.Cl,3061720
CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-],35370
C(CCCC(=O)O)CCCC(=O)O,2266
C1=CN=CC=C1N,1727
CC(C(=O)OC(C)(C)CC1=CC=C(C=C1)Cl)N,2081
CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,1989
C1C2CC3CC1CC(C2)(C3)N,2130
C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=NC(=N3)N)N,169371
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCC(=O)O,5283389
C(CC(=O)O)CN,119
C1CCC2=NC3=CC=CC=C3C(=C2C1)N,1935
C1=NC2=C(N1COCCO)N=C(NC2=O)N,135398513
CC(=O)OC1=CC=CC=C1C(=O)O,2244
C(CN)CNCCSP(=O)(O)O,2141
CC(=O)NC1=NN=C(S1)S(=O)(=O)N,1986
CN1CCC=C(C1)C(=O)OC,2230
C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,16231
C(CCC(=O)O)CCN,564
C1=NNC2=C1C(=O)NC=N2,135401907
CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,2157
CC(C)NCC(COC1=CC=CC=C1CC=C)O,2119
CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,2123
COC1=CC=C(C=C1)C(=O)N2CCCC2=O,2196
CC(COC1=CC=CC=C1)N(CCCl)CC2=CC=CC=C2,4768
CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2,2471
C1=CC(=CC=C1C(CC(=O)O)CN)Cl,2284
CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,2369
C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,2477
CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2717
C1CC1C2=CC=CC=C2OCC3=NCCN3,2765
C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,2708
C(CCl)NC(=O)N(CCCl)N=O,2578
C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4,2754
CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,6241
C1CNP(=O)(OC1)N(CCCl)CCCl.O,22420
C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,72276
CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,2727
C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,4211
C1=CC2=C(C=C1Cl)NC(=O)O2,2733
CC1=C(N=CN1)CSCCNC(=NC)NC#N,2756
C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,2720
C1CCN(C1)CC2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)Cl.Cl,5309446
C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4,1547484
C1CN(CCN1)C2=CC(=CC=C2)Cl,1355
C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,2812
