PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Antagonist Activity,Antagonist Potency (uM),Antagonist Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
1,144203552,12850184,C(C(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O.C(C(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O.[Ca+2],Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
2,144203553,89753,C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.[Ba+2],Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
3,144203554,9403,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OC(=O)CCC4CCCC4)CCC5=C3C=CC(=C5)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
4,144203555,13218779,C[C@@]12CC[C@@H](C1(C)C)C[C@H]2OC(=O)CSC#N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
5,144203556,142766,C1=CC=C(C(=C1)C(=O)O)O.C1=CC2=C(C(=C1)O)N=CC=C2,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,15.5454,-115.803,active antagonist,14.9601,-76.8218,NCI
6,144203557,16043,CC(C)(C)C1=C(C=CC(=C1)O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
7,144203558,16043,CC(C)(C)C1=C(C=CC(=C1)O)O,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,28.7255,-95.3806,active antagonist,26.6032,-99.8974,SigmaAldrich
8,144203559,2724411,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=CC=C3.CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=CC=C3.C(=O)(C(=O)O)O.C(=O)(C(=O)[O-])O.C(=O)(C(=O)[O-])O,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),inconclusive antagonist,33.4915,-46.25,active antagonist,23.7101,-54.803,NCI
9,144203560,90454,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](C3=CC=NC4=CC=CC=C34)O,Inconclusive,10.0,,,inconclusive agonist,inconclusive agonist,8.41267,27.5735,inactive,,0,NCI
10,144203561,637566,CC(=CCC/C(=C/CO)/C)C,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
11,144203562,994,C1=CC=C(C=C1)CC(C(=O)O)N,Inconclusive,10.0,,,inconclusive agonist,inconclusive agonist,29.8493,30.5478,inactive,,0,NCI
12,144203563,4766,C1=CC=C2C(=C1)C(OS2(=O)=O)(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,Inactive,0.0,,,inactive,inactive,,0,active antagonist,27.644,-51.4961,NCI
13,144203564,79472,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)NC3=CC4=C(C=C(N=C4C=C3)C)N)N.Cl.Cl,Inconclusive,30.0,,,inconclusive antagonist,inconclusive antagonist,17.7801,-26.881,inactive,,0,Labotest
14,144203565,3080,C(C(CS)S)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
15,144203566,7048801,[C@@H]([C@H](C(=O)O)S)(C(=O)O)S,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
16,144203567,51,C(CC(=O)O)C(=O)C(=O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
17,144203568,66064,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F.Cl.Cl,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,28.1796,-98.7273,active antagonist,28.7255,-87.4831,NCI
18,144203569,66435,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OP(=O)(O)O)CCC4=C3C=CC(=C4)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
19,144203570,8969,COC(=O)[C@H]1[C@H](CC[C@@H]2[C@@H]1C[C@H]3C4=C(CCN3C2)C5=CC=CC=C5N4)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
20,144203571,10664,CC1=NC=C(C(=C1O)CN)CO.Cl.Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
21,144203572,8739,C1=CC(=CC=C1C(=O)O)S(=O)(=O)N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Chembridge
22,144203573,4904,C1CCN(CC1)CCC(C2=CC=CC=C2)(C3=CC=CC=C3)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
23,144203574,65463,CC(C)(C)C1=CC=C(C=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl.Cl.Cl,Active,44.0,,,active antagonist,active antagonist,28.1796,-57.2939,inactive,,0,NCI
24,144203575,439501,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2C[C@H]([C@@]3([C@@H]4[C@@H](CC[C@@]3(C2)O)[C@]5(CC[C@@H]([C@]5(C[C@H]4O)C)C6=CC(=O)OC6)O)CO)O)O)O)O,Active,50.0,,,active antagonist,active antagonist,1.43968,-47.4582,inactive,,0,NCI
25,144203576,65708,C1=CC=C2C(=C1)NC(=N2)CCC(=O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Chemical Block
26,144203577,60196259,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C.C1CNCCN1,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
27,144203578,5338,C1=CC=C2C(=C1)N=CC(=N2)NS(=O)(=O)C3=CC=C(C=C3)N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
28,144203579,3246155,CN1[C@@H]2CC[C@H]1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4.CS(=O)(=O)O,Inactive,0.0,,,inactive,inactive,,0,active antagonist,29.8493,-50.8733,NCI
29,144203580,5920,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)C[C@@H](C(=O)O)N)I)I)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
30,144203581,54724367,C[C@@]1(C2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)NCN5CCCC5)N(C)C)O.Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
31,144203582,7329,C1=CC(=C(C=C1Cl)SC2=C(C=CC(=C2)Cl)O)O,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,26.6032,-94.3861,active antagonist,26.6032,-56.2241,NIEHS
32,144203583,667466,CN(C)CC/C=C/1\C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,18.8336,-50.6818,active antagonist,29.8493,-57.1585,NCI
33,144203584,24403,[O-]P(=O)([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+],Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
34,144203585,6419941,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(C3=CC=CC=C3)O.Br,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
35,144203586,6603108,CN1[C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4.Br,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
36,144203587,6419978,C[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)[O-].Br,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
37,144203588,5459110,C[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)C.[Br-],Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
38,144203589,656597,C[N+]1([C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C.[Br-],Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
39,144203590,3000668,C[N+]1([C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)[O-],Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
40,144203591,22576,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31.Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
41,144203592,2333,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
42,144203593,614,C1CC(NC1)C(=O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
43,144203594,94280,CC1(C2=CC=CC=C2N(C3=CC=CC=C31)CCCN(C)C)C,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
44,144203595,23664709,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)[O-])C.[K+],Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
45,144203596,546,C(C(=O)O)P(=O)(O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
46,144203597,16678045,CC1=CC(=C(N1C2=CC=CC(=C2)C(=O)O)C)C(=O)O.C1CN2CC3=CCO[C@H]4CC(=O)N5[C@H]6[C@H]4[C@H]3C[C@H]2[C@@]61C7=CC=CC=C75,Inactive,0.0,,,inactive,inactive,,0,inconclusive antagonist,,,NCI
47,144203598,14676,CN1CCC(C1)CN2C3=CC=CC=C3SC4=CC=CC=C42.Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
48,144203599,441358,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),inconclusive antagonist,26.6032,-62.8254,inconclusive antagonist,31.618,-44.3958,NCI
49,144203600,71822,CCC1=CC2=C(C=C1)SC3=CC=CC=C3N2CC(C)CN(C)C.Cl,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,29.8493,-114.53,active antagonist,27.644,-77.7815,NCI
50,144203601,443939,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
51,144203602,298391,CC1=CC=C(C=C1)S(=O)(=O)O.C1CCC2=C(C1)C=CC=C2NC3=NCCN3,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
52,144203603,4078,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)C,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
53,144203604,2348,C1=CC=C(C=C1)CC2NC3=CC(=C(C=C3S(=O)(=O)N2)S(=O)(=O)N)Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
54,144203605,23667629,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)[O-].[Na+],Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
55,144203606,122820,C1CN(CCC12NC(=O)CS2)CCCN3C4=CC=CC=C4SC5=C3C=C(C=C5)Cl.Cl,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,33.4915,-51.6295,inconclusive antagonist,29.8493,-85.7275,NCI
56,144203607,3151,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O,Inactive,0.0,,,inactive,inactive,,0,inconclusive antagonist,,,NCI
57,144203608,65758,C1=CC=C(C(=C1)C2=NC(=NO2)C3=CC=NC=C3)Cl,Inconclusive,20.0,,,active agonist,active agonist,1.49601,58.4092,inactive,,0,Bionet
58,144203609,5694,CC1=C(C(=CC=C1)NC2=CC(=NC(=N2)SCC(=O)O)Cl)C,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Microsource
59,144203610,4614,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
60,144203611,71203,CC[C@@]12CCCN3[C@@H]1C4=C(CC3)C5=CC=CC=C5N4C(=O)C2,Active,48.0,,,active antagonist,active antagonist,11.3588,-79.965,inactive,,0,"Prestwick Chemical, Inc."
