PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Antagonist Activity,Antagonist Potency (uM),Antagonist Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,Type of compound activity based on both the aromatase antagonist mode readout and the cell viability counter screen.,Type of compound activity in the aromatase antagonist mode screen.,The concentration of sample yielding half-maximal inhibition of aromatase.,Percent inhibition of aromatase.,Type of compound activity in the cell viability counter screen.,The concentration of sample yielding half-maximal inhibition of cell viability.,Percent inhibition of cell viability.,Where sample was obtained.
RESULT_UNIT,,,,,,,,,,MICROMOLAR,PERCENT,,MICROMOLAR,PERCENT,
1,144203552.0,12850184.0,C(C(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O.C(C(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O.[Ca+2],Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
2,144203553.0,89753.0,C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.[Ba+2],Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
3,144203554.0,9403.0,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OC(=O)CCC4CCCC4)CCC5=C3C=CC(=C5)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
4,144203555.0,13218779.0,C[C@@]12CC[C@@H](C1(C)C)C[C@H]2OC(=O)CSC#N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
5,144203556.0,142766.0,C1=CC=C(C(=C1)C(=O)O)O.C1=CC2=C(C(=C1)O)N=CC=C2,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,15.5454,-115.803,active antagonist,14.9601,-76.8218,NCI
6,144203557.0,16043.0,CC(C)(C)C1=C(C=CC(=C1)O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
7,144203558.0,16043.0,CC(C)(C)C1=C(C=CC(=C1)O)O,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,28.7255,-95.3806,active antagonist,26.6032,-99.8974,SigmaAldrich
